Transaction_id,customer_name,member_id,product_id,Item,transaction_type,product_price
TRN_2739,Alex,MEM_36,34,shirt,Sales,23.10 
TRN_2739,Alex,MEM_36,34,shirt,Sales,23.10 
TRN_2740,Ryan,MEM_20,14,almonds,Sales,5.99
TRN_2740,Ryan,MEM_20,14,almonds,Sales,5.99
TRN_2740,Ryan,MEM_20,14,almonds,Refund,5.99
TRN_2740,Ryan,MEM_20,14,almonds,Refund,5.99
TRN_2541,John,MEM_56,26,soap,Sales,7.00 
TRN_2541,John,MEM_56,14,almonds,Sales,5.99 
TRN_2541,John,MEM_56,13,soda,Sales,2.00
TRN_2542,John,MEM_56,13,soda,Sales,2.00
TRN_2542,John,MEM_56,11,chips,Sales,3.40
TRN_2542,John,MEM_56,11,chips,Refund,3.40
TRN_2542,John,MEM_56,11,chips,Sales,3.40
TRN_2742,Alex,MEM_36,34,shirt,Refund,23.10
TRN_2742,Alex,MEM_36,34,shirt,Refund,23.10
TRN_2745,Lee,MEM_39,22,cheese,Sales,5.10
TRN_2745,Lee,MEM_39,22,cheese,Refund,5.10
TRN_2745,Lee,MEM_39,22,cheese,Sales,5.10
TRN_2745,Lee,MEM_39,22,cheese,Refund,5.10
TRN_2746,Elle,MEM_42,28,chocolate,Sales,4.10
TRN_2746,Elle,MEM_42,28,chocolate,Refund,4.10
TRN_2746,Elle,MEM_42,40,bananas,Sales,0.99
TRN_2746,Elle,MEM_42,40,bananas,Refund,0.99
TRN_2746,Elle,MEM_42,29,apples,Sales,2.99
TRN_2746,Elle,MEM_42,29,apples,Refund,2.99
TRN_2746,Elle,MEM_42,38,pears,Sales,2.99
TRN_2746,Elle,MEM_42,38,pears,Refund,2.99








